skola,predmet,obor,typ,konali,neuspeli,volba,prumer,odchylka
GYMNÁZIUM JANA PALACHA PRAHA 1. s.r.o.,Anglický jazyk,Gymnázium 4 leté,Didaktický test,31,0,97.1,82.0,7.1
Gymnázium prof. Jana Patočky. Praha 1. Jindřišská 36,Anglický jazyk,Gymnázium 4 leté,Didaktický test,12,0,70.8,75.2,6.9
Akademické gymnázium. škola hlavního města Prahy. Praha 1. Štěpánská 22,Anglický jazyk,Gymnázium 4 leté,Didaktický test,47,0,59.3,87.3,7.1
Gymnázium. Praha 2. Botičská 1,Anglický jazyk,Gymnázium 4 leté,Didaktický test,57,0,76.0,83.2,6.3
Gymnázium Duhovka s.r.o.,Anglický jazyk,Gymnázium 4 leté,Didaktický test,3,0,60.0,81.0,5.8
Soukromé gymnasium Josefa Škvoreckého s.r.o.,Anglický jazyk,Gymnázium 4 leté,Didaktický test,14,0,100.0,75.4,10.4
Gymnázium Karla Sladkovského. Praha 3. Sladkovského náměstí 8,Anglický jazyk,Gymnázium 4 leté,Didaktický test,15,0,88.9,76.9,10.1
Gymnázium. Praha 4. Písnická 760,Anglický jazyk,Gymnázium 4 leté,Didaktický test,15,0,69.6,75.2,6.3
Gymnázium Elišky Krásnohorské. Praha 4 - Michle. Ohradní 55,Anglický jazyk,Gymnázium 4 leté,Didaktický test,28,0,49.1,78.0,8.1
Gymnázium. Praha 4. Postupická 3150,Anglický jazyk,Gymnázium 4 leté,Didaktický test,38,0,78.4,66.6,10.5
Gymnázium. Praha 4. Na Vítězné pláni 1160,Anglický jazyk,Gymnázium 4 leté,Didaktický test,40,0,71.9,88.0,5.9
Gymnázium Evolution Jižní Město s.r.o.,Anglický jazyk,Gymnázium 4 leté,Didaktický test,18,1,94.7,76.3,14.0
Gymnázium Opatov. Praha 4. Konstantinova 1500,Anglický jazyk,Gymnázium 4 leté,Didaktický test,18,0,76.0,74.6,10.2
Klasické gymnázium Modřany. s.r.o.,Anglický jazyk,Gymnázium 4 leté,Didaktický test,7,0,87.5,71.0,14.7
EDUCAnet - Gymnázium. střední odborná škola a základní škola Praha. s.r.o.,Anglický jazyk,Gymnázium 4 leté,Didaktický test,18,0,55.9,86.3,5.2
Gymnázium. Praha 4. Budějovická 680,Anglický jazyk,Gymnázium 4 leté,Didaktický test,8,0,38.1,75.9,7.2
Gymnázium. Praha 5. Na Zatlance 11,Anglický jazyk,Gymnázium 4 leté,Didaktický test,74,0,63.2,83.5,6.9
Gymnázium Oty Pavla. Praha 5. Loučanská 520,Anglický jazyk,Gymnázium 4 leté,Didaktický test,17,0,77.3,81.6,8.1
Gymnázium. Praha 6. Arabská 14,Anglický jazyk,Gymnázium 4 leté,Didaktický test,68,0,53.1,80.9,9.7
Gymnázium Jana Keplera. Praha 6. Parléřova 2,Anglický jazyk,Gymnázium 4 leté,Didaktický test,12,0,15.4,87.1,4.3
Vyšší odborná škola pedagogická a sociální. Střední odborná škola pedagogická a Gymnázium. Praha 6. Evropská 33,Anglický jazyk,Gymnázium 4 leté,Didaktický test,24,0,96.2,72.5,12.6
Gymnázium. Praha 8. U Libeňského zámku 1,Anglický jazyk,Gymnázium 4 leté,Didaktický test,43,0,73.3,75.2,9.9
Karlínské gymnázium. Praha 8. Pernerova 25,Anglický jazyk,Gymnázium 4 leté,Didaktický test,91,0,85.2,70.5,10.9
Gymnázium. Praha 9. Českolipská 373,Anglický jazyk,Gymnázium 4 leté,Didaktický test,15,0,60.0,90.5,3.0
Gymnázium. Praha 9. Špitálská 2,Anglický jazyk,Gymnázium 4 leté,Didaktický test,12,0,44.8,84.0,7.5
Křesťanské gymnázium,Anglický jazyk,Gymnázium 4 leté,Didaktický test,22,0,91.7,81.7,6.2
Gymnázium bratří Čapků a První české soukromé střední odborné učiliště s.r.o.,Anglický jazyk,Gymnázium 4 leté,Didaktický test,10,0,84.6,78.6,11.1
EKO GYMNÁZIUM Praha o.p.s.,Anglický jazyk,Gymnázium 4 leté,Didaktický test,8,1,50.0,58.3,15.4
Gymnázium. Praha 10. Voděradská 2,Anglický jazyk,Gymnázium 4 leté,Didaktický test,12,0,48.0,69.4,9.2
Gymnázium. Praha 10. Omská 1300,Anglický jazyk,Gymnázium 4 leté,Didaktický test,24,0,92.3,85.1,7.1
Gymnázium. Praha 7. Nad Štolou 1,Anglický jazyk,Gymnázium 4 leté,Didaktický test,31,0,64.8,80.2,9.2
Gymnázium. Praha 10. Přípotoční 1337,Anglický jazyk,Gymnázium 4 leté,Didaktický test,55,0,53.3,75.4,10.6
1.Slovanské gymnázium a jazyková škola s právem státní jazykové zkoušky,Anglický jazyk,Gymnázium 4 leté,Didaktický test,14,0,46.7,80.1,5.3
Anglicko-české gymnázium AMAZON,Anglický jazyk,Gymnázium 4 leté,Didaktický test,37,0,95.3,86.0,4.8
Gymnázium Milady Horákové,Anglický jazyk,Gymnázium 4 leté,Didaktický test,15,0,68.2,71.3,11.3
,Anglický jazyk,Gymnázium 4 leté,Didaktický test,1,0,66.7,76.3,
Gymnázium Jana Nerudy. škola hlavního města Prahy. Praha 1. Hellichova 3,Anglický jazyk,Gymnázium 6 leté,Didaktický test,33,0,64.2,85.6,6.7
Gymnázium Na Pražačce. Praha 3. Nad Ohradou 23,Anglický jazyk,Gymnázium 6 leté,Didaktický test,44,0,53.0,80.9,8.7
Gymnázium. Praha 4. Postupická 3150,Anglický jazyk,Gymnázium 6 leté,Didaktický test,39,0,63.1,79.8,8.0
Gymnázium. Praha 4. Na Vítězné pláni 1160,Anglický jazyk,Gymnázium 6 leté,Didaktický test,42,0,81.1,85.6,5.3
Gymnázium Evolution Jižní Město s.r.o.,Anglický jazyk,Gymnázium 6 leté,Didaktický test,29,0,76.9,83.2,8.7
Gymnázium Oty Pavla. Praha 5. Loučanská 520,Anglický jazyk,Gymnázium 6 leté,Didaktický test,16,0,55.2,92.1,5.2
Gymnázium Čakovice. Praha 9. nám. 25. března 100,Anglický jazyk,Gymnázium 6 leté,Didaktický test,30,0,83.3,87.7,5.5
Gymnázium. Praha 10. Voděradská 2,Anglický jazyk,Gymnázium 6 leté,Didaktický test,12,0,44.4,76.7,10.9
Gymnázium. Praha 7. Nad Štolou 1,Anglický jazyk,Gymnázium 6 leté,Didaktický test,18,0,56.3,87.0,6.1
Gymnázium a Hudební škola hlavního města Prahy. základní umělecká škola,Anglický jazyk,Gymnázium 8 leté,Didaktický test,18,0,62.1,80.5,12.0
Gymnázium Jiřího Gutha-Jarkovského. Praha 1. Truhlářská 22,Anglický jazyk,Gymnázium 8 leté,Didaktický test,33,0,67.3,89.5,5.7
Malostranské gymnázium. Praha 1. Josefská 7,Anglický jazyk,Gymnázium 8 leté,Didaktický test,32,0,64.0,86.5,4.9
Gymnázium prof. Jana Patočky. Praha 1. Jindřišská 36,Anglický jazyk,Gymnázium 8 leté,Didaktický test,27,0,52.7,83.6,7.1
Arcibiskupské gymnázium,Anglický jazyk,Gymnázium 8 leté,Didaktický test,34,0,63.0,92.1,3.6
Gymnázium Duhovka s.r.o.,Anglický jazyk,Gymnázium 8 leté,Didaktický test,8,0,88.9,81.9,4.1
Gymnázium Karla Sladkovského. Praha 3. Sladkovského náměstí 8,Anglický jazyk,Gymnázium 8 leté,Didaktický test,26,0,73.2,89.7,5.4
Gymnázium. Praha 4. Písnická 760,Anglický jazyk,Gymnázium 8 leté,Didaktický test,11,0,42.3,89.4,3.2
Gymnázium Elišky Krásnohorské. Praha 4 - Michle. Ohradní 55,Anglický jazyk,Gymnázium 8 leté,Didaktický test,4,0,13.8,86.6,4.0
Gymnázium ALTIS s.r.o.,Anglický jazyk,Gymnázium 8 leté,Didaktický test,13,0,54.2,85.6,6.6
Gymnázium Opatov. Praha 4. Konstantinova 1500,Anglický jazyk,Gymnázium 8 leté,Didaktický test,35,0,72.9,90.9,4.5
Klasické gymnázium Modřany. s.r.o.,Anglický jazyk,Gymnázium 8 leté,Didaktický test,12,0,80.0,93.6,3.8
Gymnázium. Praha 4. Budějovická 680,Anglický jazyk,Gymnázium 8 leté,Didaktický test,5,0,18.5,96.4,1.9
Gymnázium Christiana Dopplera,Anglický jazyk,Gymnázium 8 leté,Didaktický test,19,0,39.6,83.3,6.9
Gymnázium Jaroslava Heyrovského. Praha 5. Mezi Školami 2475,Anglický jazyk,Gymnázium 8 leté,Didaktický test,27,0,52.9,92.1,6.4
Mensa gymnázium. o.p.s.. Španielova 1111/19. Praha 6,Anglický jazyk,Gymnázium 8 leté,Didaktický test,9,0,81.8,81.6,6.3
Gymnázium. Praha 5. Nad Kavalírkou 1,Anglický jazyk,Gymnázium 8 leté,Didaktický test,10,0,13.5,80.5,6.4
Trojské gymnázium s.r.o.,Anglický jazyk,Gymnázium 8 leté,Didaktický test,13,0,48.5,86.6,5.9
Gymnázium Přírodní škola. o.p.s.,Anglický jazyk,Gymnázium 8 leté,Didaktický test,11,0,100.0,83.2,5.9
Gymnázium. Praha 8. Ústavní 400,Anglický jazyk,Gymnázium 8 leté,Didaktický test,16,0,32.0,89.4,5.9
PORG - gymnázium a základní škola. o.p.s.,Anglický jazyk,Gymnázium 8 leté,Didaktický test,24,0,59.1,93.7,3.8
Gymnázium J. Seiferta o.p.s.,Anglický jazyk,Gymnázium 8 leté,Didaktický test,18,0,100.0,93.4,3.3
Gymnázium. Praha 9. Českolipská 373,Anglický jazyk,Gymnázium 8 leté,Didaktický test,33,0,60.7,91.3,3.3
Gymnázium. Praha 9. Chodovická 2250,Anglický jazyk,Gymnázium 8 leté,Didaktický test,18,0,36.7,87.6,6.4
Gymnázium. Praha 9. Špitálská 2,Anglický jazyk,Gymnázium 8 leté,Didaktický test,14,0,48.3,94.6,3.9
Soukromé gymnázium ARCUS PRAHA 9. s.r.o.,Anglický jazyk,Gymnázium 8 leté,Didaktický test,13,0,92.9,84.0,7.7
Křesťanské gymnázium,Anglický jazyk,Gymnázium 8 leté,Didaktický test,16,0,61.5,89.8,4.8
Gymnázium. Praha 10. Voděradská 2,Anglický jazyk,Gymnázium 8 leté,Didaktický test,21,0,36.1,91.6,3.7
Gymnázium. Praha 10. Omská 1300,Anglický jazyk,Gymnázium 8 leté,Didaktický test,42,0,89.6,93.3,3.1
Gymnázium. Praha 7. Nad Štolou 1,Anglický jazyk,Gymnázium 8 leté,Didaktický test,31,0,55.2,89.6,3.8
