"skola","predmet","obor","typ","konali","neuspeli","volba","prumer","odchylka"
"První soukromé jazykové gymnázium Hradec Králové. spol. s r.o.","Anglický jazyk","Gymnázium 4 leté","Didaktický test",29,0,"100.0","89.0","4.9"
"Gymnázium J. K. Tyla. Hradec Králové. Tylovo nábř. 682","Anglický jazyk","Gymnázium 4 leté","Didaktický test",101,0,"70.5","75.8","10.3"
"Gymnázium. Nový Bydžov. Komenského 77","Anglický jazyk","Gymnázium 4 leté","Didaktický test",10,0,"45.8","78.3","9.8"
"Lepařovo gymnázium. Jičín. Jiráskova 30","Anglický jazyk","Gymnázium 4 leté","Didaktický test",10,0,"32.3","79.5","10.9"
"Gymnázium a Střední odborná škola pedagogická. Nová Paka. Kumburská 740","Anglický jazyk","Gymnázium 4 leté","Didaktický test",19,0,"70.4","79.6","6.3"
"Gymnázium. Broumov. Hradební 218","Anglický jazyk","Gymnázium 4 leté","Didaktický test",16,0,"76.2","74.3","15.0"
"Jiráskovo gymnázium. Náchod. Řezníčkova 451","Anglický jazyk","Gymnázium 4 leté","Didaktický test",17,0,"28.3","78.5","7.5"
"Gymnázium a Střední odborná škola. Jaroměř. Lužická 423","Anglický jazyk","Gymnázium 4 leté","Didaktický test",23,0,"79.3","67.3","8.4"
"Gymnázium. Dobruška. Pulická 779","Anglický jazyk","Gymnázium 4 leté","Didaktický test",11,0,"45.8","75.3","5.2"
"Gymnázium Františka Martina Pelcla. Rychnov nad Kněžnou. Hrdinů odboje 36","Anglický jazyk","Gymnázium 4 leté","Didaktický test",16,0,"27.1","71.4","10.5"
"Gymnázium. Dvůr Králové nad Labem. nám. Odboje 304","Anglický jazyk","Gymnázium 4 leté","Didaktický test",14,0,"53.8","63.9","10.4"
"Gymnázium. Trutnov. Jiráskovo náměstí 325","Anglický jazyk","Gymnázium 4 leté","Didaktický test",24,0,"61.0","58.7","14.3"
"Gymnázium. Vrchlabí. Komenského 586","Anglický jazyk","Gymnázium 4 leté","Didaktický test",16,0,"81.8","71.8","10.4"
"Biskupské gymnázium Bohuslava Balbína a Základní škola a mateřská škola Jana Pavla II. Hradec Králové","Anglický jazyk","Gymnázium 4 leté","Didaktický test",20,1,"72.4","65.1","14.1"
"Střední škola Sion High School. Hradec Králové","Anglický jazyk","Gymnázium 4 leté","Didaktický test",8,0,"88.9","67.8","7.2"
,"Anglický jazyk","Gymnázium 4 leté","Didaktický test",6,0,"54.5","79.1","10.0"
"První soukromé jazykové gymnázium Hradec Králové. spol. s r.o.","Anglický jazyk","Gymnázium 6 leté","Didaktický test",21,0,"100.0","92.1","3.1"
"Gymnázium Boženy Němcové. Hradec Králové. Pospíšilova tř. 324","Anglický jazyk","Gymnázium 6 leté","Didaktický test",39,0,"51.3","86.3","6.4"
"Gymnázium. Nový Bydžov. Komenského 77","Anglický jazyk","Gymnázium 6 leté","Didaktický test",9,0,"50.0","70.0","9.1"
"Lepařovo gymnázium. Jičín. Jiráskova 30","Anglický jazyk","Gymnázium 6 leté","Didaktický test",9,0,"31.0","87.6","4.2"
"Gymnázium. Dvůr Králové nad Labem. nám. Odboje 304","Anglický jazyk","Gymnázium 6 leté","Didaktický test",8,0,"44.4","82.9","6.2"
"Gymnázium a Střední odborná škola pedagogická. Nová Paka. Kumburská 740","Anglický jazyk","Gymnázium 8 leté","Didaktický test",10,0,"37.9","75.3","11.2"
"Gymnázium.  střední odborná škola. střední odborné učiliště a vyšší odborná škola. Hořice","Anglický jazyk","Gymnázium 8 leté","Didaktický test",11,0,"57.9","73.3","9.4"
"Gymnázium. Broumov. Hradební 218","Anglický jazyk","Gymnázium 8 leté","Didaktický test",20,0,"71.4","86.9","4.9"
"Jiráskovo gymnázium. Náchod. Řezníčkova 451","Anglický jazyk","Gymnázium 8 leté","Didaktický test",16,0,"32.0","85.0","4.3"
"Gymnázium a Střední odborná škola. Jaroměř. Lužická 423","Anglický jazyk","Gymnázium 8 leté","Didaktický test",16,0,"59.3","86.0","7.5"
"Gymnázium. Dobruška. Pulická 779","Anglický jazyk","Gymnázium 8 leté","Didaktický test",11,0,"42.3","78.5","7.5"
"Gymnázium Františka Martina Pelcla. Rychnov nad Kněžnou. Hrdinů odboje 36","Anglický jazyk","Gymnázium 8 leté","Didaktický test",7,0,"33.3","88.4","4.9"
"Gymnázium. Trutnov. Jiráskovo náměstí 325","Anglický jazyk","Gymnázium 8 leté","Didaktický test",23,0,"46.2","77.5","6.4"
"Gymnázium. Vrchlabí. Komenského 586","Anglický jazyk","Gymnázium 8 leté","Didaktický test",12,0,"54.5","83.3","8.8"
"Gymnázium a Střední odborná škola. Hostinné. Horská 309","Anglický jazyk","Gymnázium 8 leté","Didaktický test",4,0,"80.0","84.9","1.9"
"Biskupské gymnázium Bohuslava Balbína a Základní škola a mateřská škola Jana Pavla II. Hradec Králové","Anglický jazyk","Gymnázium 8 leté","Didaktický test",33,0,"68.8","83.7","7.3"
"Střední průmyslová škola stavební. Hradec Králové. Pospíšilova tř. 787","Anglický jazyk","Lyceum","Didaktický test",9,0,"31.0","70.0","11.0"
"Obchodní akademie. Střední odborná škola a Jazyková škola s právem státní jazykové zkoušky. Hradec Králové","Anglický jazyk","Lyceum","Didaktický test",26,0,"92.9","84.9","6.8"
"Obchodní akademie. Střední pedagogická škola. Vyšší odborná škola cestovního ruchu a Jazyková škola s právem státní jazykové zkoušky. s.r.o.","Anglický jazyk","Lyceum","Didaktický test",20,0,"100.0","75.1","7.9"
"Gymnázium.  střední odborná škola. střední odborné učiliště a vyšší odborná škola. Hořice","Anglický jazyk","Lyceum","Didaktický test",7,0,"100.0","21.5","8.8"
"ACADEMIA MERCURII soukromá střední škola. s.r.o.","Anglický jazyk","Lyceum","Didaktický test",6,0,"75.0","80.7","3.4"
"Obchodní akademie T. G. Masaryka. Kostelec nad Orlicí. Komenského 522","Anglický jazyk","Lyceum","Didaktický test",21,2,"87.5","57.5","19.5"
"Vyšší odborná škola zdravotnická a Střední zdravotnická škola. Hradec Králové.               Komenského 234","Anglický jazyk","Lyceum","Didaktický test",40,1,"78.8","51.1","14.4"
"Vyšší odborná škola zdravotnická a Střední zdravotnická škola. Trutnov. Procházkova 303","Anglický jazyk","Lyceum","Didaktický test",19,0,"95.0","54.8","14.3"
"Bezpečnostně právní akademie. s.r.o.. střední škola","Anglický jazyk","Lyceum","Didaktický test",7,0,"81.8","60.8","11.1"
"Střední škola Sion High School. Hradec Králové","Anglický jazyk","Lyceum","Didaktický test",8,0,"100.0","57.9","8.1"
"Střední škola služeb. obchodu a gastronomie. Hradec Králové. Velká 3","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",25,11,"78.1","23.3","20.8"
"Střední škola technická a řemeslná. Nový Bydžov. Dr. M. Tyrše 112","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",4,2,"30.8","11.1","9.1"
"Hotelová škola Hradec Králové. s.r.o.","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",5,0,"45.5","32.6","7.8"
"Střední odborné učiliště. Lázně Bělohrad. Zámecká 478","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",13,0,"70.0","51.1","10.2"
"Soukromá střední škola podnikatelská - ALTMAN. s.r.o.","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",5,1,"42.9","44.2","15.1"
"Střední škola řemeslná. Jaroměř. Studničkova 260","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",6,0,"53.3","41.6","14.4"
"Střední škola oděvní. služeb a ekonomiky. Červený Kostelec. 17. listopadu 1197","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",5,0,"55.6","43.0","10.2"
"Střední škola hotelnictví a společného stravování. Teplice nad Metují","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",6,4,"100.0","23.9","24.6"
"Střední škola zemědělská a ekologická a střední odborné učiliště chladící a klimatizační techniky. Kostelec nad Orlicí","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",8,7,"88.9","5.1","6.1"
"Střední odborná škola a Střední odborné učiliště. Trutnov. Volanovská 243","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",7,5,"90.9","11.3","15.4"
"Střední průmyslová škola. Trutnov. Školní 101","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",7,0,"47.4","53.9","12.6"
"TRIVIS - Střední škola veřejnoprávní Třebechovice pod Orebem. s.r.o.","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",8,0,"100.0","22.2","5.1"
"Střední škola - Podorlické vzdělávací centrum. Dobruška","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",24,10,"54.5","23.5","21.1"
"Střední uměleckoprůmyslová škola hudebních nástrojů a nábytku. Hradec Králové. 17. listopadu 1202","Anglický jazyk","SOU technické (nástavby)","Didaktický test",6,0,"72.7","44.3","7.5"
