"skola","predmet","obor","typ","konali","neuspeli","volba","prumer","odchylka"
"Gymnázium. Krnov. příspěvková organizace","Anglický jazyk","Gymnázium 4 leté","Didaktický test",22,1,"74.2","75.5","13.3"
"Všeobecné a sportovní gymnázium. Bruntál. příspěvková organizace","Anglický jazyk","Gymnázium 4 leté","Didaktický test",13,0,"59.1","84.5","10.2"
"Gymnázium a Střední odborná škola. Rýmařov. příspěvková organizace","Anglický jazyk","Gymnázium 4 leté","Didaktický test",9,0,"81.8","70.2","13.4"
"Gymnázium a Střední odborná škola. Frýdek-Místek. Cihelní 410. příspěvková organizace","Anglický jazyk","Gymnázium 4 leté","Didaktický test",33,0,"50.0","79.1","8.1"
"Gymnázium. Frýdlant nad Ostravicí. nám. T. G. Masaryka 1260. příspěvková organizace","Anglický jazyk","Gymnázium 4 leté","Didaktický test",15,0,"51.7","84.7","5.0"
"Gymnázium. Třinec. příspěvková organizace","Anglický jazyk","Gymnázium 4 leté","Didaktický test",44,0,"75.9","68.5","11.3"
"Gymnázium EDUCAnet Ostrava s.r.o.","Anglický jazyk","Gymnázium 4 leté","Didaktický test",25,0,"100.0","76.6","10.4"
"Gymnázium PRIGO. s.r.o.","Anglický jazyk","Gymnázium 4 leté","Didaktický test",4,0,"57.1","34.7","4.6"
"Gymnázium Františka Živného. Bohumín. Jana Palacha 794. příspěvková organizace","Anglický jazyk","Gymnázium 4 leté","Didaktický test",18,0,"67.9","78.5","9.1"
"Gymnázium. Český Těšín. příspěvková organizace","Anglický jazyk","Gymnázium 4 leté","Didaktický test",19,0,"58.8","73.9","8.7"
"Gymnázium. Havířov-Město. Komenského 2. příspěvková organizace","Anglický jazyk","Gymnázium 4 leté","Didaktický test",23,0,"75.0","73.7","11.8"
"Gymnázium. Karviná. příspěvková organizace","Anglický jazyk","Gymnázium 4 leté","Didaktický test",39,0,"72.2","74.8","8.2"
"Polské gymnázium – Polskie Gimnazjum im. Juliusza Słowackiego. Český Těšín. příspěvková organizace","Anglický jazyk","Gymnázium 4 leté","Didaktický test",55,0,"66.3","74.4","10.1"
"Gymnázium a Obchodní akademie. Orlová. příspěvková organizace","Anglický jazyk","Gymnázium 4 leté","Didaktický test",30,0,"93.8","76.8","10.7"
"Gymnázium. Havířov-Podlesí. příspěvková organizace","Anglický jazyk","Gymnázium 4 leté","Didaktický test",22,0,"66.7","84.2","8.8"
"Masarykovo gymnázium. Příbor. příspěvková organizace","Anglický jazyk","Gymnázium 4 leté","Didaktický test",13,0,"26.0","81.0","7.1"
"Gymnázium a Střední průmyslová škola elektrotechniky a informatiky. Frenštát pod Radhoštěm. příspěvková organizace","Anglický jazyk","Gymnázium 4 leté","Didaktický test",8,0,"36.0","61.9","13.9"
"Gymnázium Mikuláše Koperníka. Bílovec. příspěvková organizace","Anglický jazyk","Gymnázium 4 leté","Didaktický test",6,0,"18.2","60.9","11.1"
