"skola","predmet","obor","typ","konali","neuspeli","volba","prumer","odchylka"
"Biskupské gymnázium J. N. Neumanna a Církevní základní škola","Anglický jazyk","Gymnázium 6 leté","Didaktický test",59,0,"62.1","87.3","6.4"
"Biskupské gymnázium J. N. Neumanna a Církevní základní škola","Anglický jazyk","Gymnázium 8 leté","Didaktický test",59,0,"62.1","87.3","6.4"
"Biskupské gymnázium J. N. Neumanna a Církevní základní škola","Anglický jazyk","Gymnázium 4 leté","Didaktický test",59,0,"62.1","87.3","6.4"
"Biskupské gymnázium J. N. Neumanna a Církevní základní škola","Anglický jazyk","Gymnázium 4 leté","Písemná práce",59,0,"62.1",88,"4.3"
"Biskupské gymnázium J. N. Neumanna a Církevní základní škola","Anglický jazyk","Gymnázium 6 leté","Písemná práce",59,0,"62.1",88,"4.3"
"Biskupské gymnázium J. N. Neumanna a Církevní základní škola","Anglický jazyk","Gymnázium 8 leté","Písemná práce",59,0,"62.1",88,"4.3"
"Biskupské gymnázium J. N. Neumanna a Církevní základní škola","Anglický jazyk","Gymnázium 4 leté","Ústní zkouška",59,0,"62.1","75.7","8.4"
"Biskupské gymnázium J. N. Neumanna a Církevní základní škola","Anglický jazyk","Gymnázium 6 leté","Ústní zkouška",59,0,"62.1","75.7","8.4"
"Biskupské gymnázium J. N. Neumanna a Církevní základní škola","Anglický jazyk","Gymnázium 8 leté","Ústní zkouška",59,0,"62.1","75.7","8.4"
"Biskupské gymnázium J. N. Neumanna a Církevní základní škola","Český jazyk a literatura","Gymnázium 6 leté","Didaktický test",95,0,,"82.4","11.4"
"Biskupské gymnázium J. N. Neumanna a Církevní základní škola","Český jazyk a literatura","Gymnázium 8 leté","Didaktický test",95,0,,"82.4","11.4"
"Biskupské gymnázium J. N. Neumanna a Církevní základní škola","Český jazyk a literatura","Gymnázium 4 leté","Didaktický test",95,0,,"82.4","11.4"
"Biskupské gymnázium J. N. Neumanna a Církevní základní škola","Český jazyk a literatura","Gymnázium 6 leté","Písemná práce",95,0,,"65.9","12.4"
"Biskupské gymnázium J. N. Neumanna a Církevní základní škola","Český jazyk a literatura","Gymnázium 8 leté","Písemná práce",95,0,,"65.9","12.4"
"Biskupské gymnázium J. N. Neumanna a Církevní základní škola","Český jazyk a literatura","Gymnázium 4 leté","Písemná práce",95,0,,"65.9","12.4"
"Biskupské gymnázium J. N. Neumanna a Církevní základní škola","Český jazyk a literatura","Gymnázium 4 leté","Ústní zkouška",95,0,,"71.9","12.4"
