"skola","predmet","obor","typ","konali","neuspeli","volba","prumer","odchylka"
"Dvořákovo gymnázium a Střední odborná škola ekonomická. Kralupy nad Vltavou. Dvořákovo náměstí 800","Anglický jazyk","Gymnázium 4 leté","Didaktický test",45,1,"60.5","80.7","12.6"
"Dvořákovo gymnázium a Střední odborná škola ekonomická. Kralupy nad Vltavou. Dvořákovo náměstí 800","Anglický jazyk","Gymnázium 4 leté","Písemná práce",45,0,"60.5","75.7","9.5"
"Dvořákovo gymnázium a Střední odborná škola ekonomická. Kralupy nad Vltavou. Dvořákovo náměstí 800","Anglický jazyk","Gymnázium 4 leté","Ústní zkouška",45,1,"60.5","60.3","16.8"
"Dvořákovo gymnázium a Střední odborná škola ekonomická. Kralupy nad Vltavou. Dvořákovo náměstí 800","Český jazyk a literatura","Gymnázium 4 leté","Didaktický test",75,2,100,"67.3","13.5"
"Dvořákovo gymnázium a Střední odborná škola ekonomická. Kralupy nad Vltavou. Dvořákovo náměstí 800","Český jazyk a literatura","Gymnázium 4 leté","Písemná práce",75,0,100,"49.1",14
"Dvořákovo gymnázium a Střední odborná škola ekonomická. Kralupy nad Vltavou. Dvořákovo náměstí 800","Český jazyk a literatura","Gymnázium 4 leté","Ústní zkouška",75,3,100,"47.3","19.1"
"Dvořákovo gymnázium a Střední odborná škola ekonomická. Kralupy nad Vltavou. Dvořákovo náměstí 800","Matematika","Gymnázium 4 leté","Didaktický test",24,1,"31.6",62,"18.7"
"Gymnázium a Střední odborná škola ekonomická. Sedlčany. Nádražní 90","Anglický jazyk","Gymnázium 4 leté","Didaktický test",46,0,"63.5","71.3","13.7"
"Gymnázium a Střední odborná škola ekonomická. Sedlčany. Nádražní 90","Anglický jazyk","Gymnázium 4 leté","Písemná práce",46,0,"63.5","63.5","14.2"
"Gymnázium a Střední odborná škola ekonomická. Sedlčany. Nádražní 90","Anglický jazyk","Gymnázium 4 leté","Ústní zkouška",46,0,"63.5","61.2","12.4"
"Gymnázium a Střední odborná škola ekonomická. Sedlčany. Nádražní 90","Český jazyk a literatura","Gymnázium 4 leté","Didaktický test",72,2,100,"67.5","14.1"
"Gymnázium a Střední odborná škola ekonomická. Sedlčany. Nádražní 90","Český jazyk a literatura","Gymnázium 4 leté","Písemná práce",73,0,100,"57.7","13.4"
"Gymnázium a Střední odborná škola ekonomická. Sedlčany. Nádražní 90","Český jazyk a literatura","Gymnázium 4 leté","Ústní zkouška",73,0,100,"69.9","10.8"
"Gymnázium a Střední odborná škola ekonomická. Sedlčany. Nádražní 90","Matematika","Gymnázium 4 leté","Didaktický test",25,0,"35.1","68.8","15.4"
"Gymnázium a Střední odborná škola pedagogická. Čáslav. Masarykova 248","Anglický jazyk","Gymnázium 4 leté","Didaktický test",71,0,"74.5",69,"14.6"
"Gymnázium a Střední odborná škola pedagogická. Čáslav. Masarykova 248","Anglický jazyk","Gymnázium 4 leté","Písemná práce",71,0,"74.5","74.9","12.2"
"Gymnázium a Střední odborná škola pedagogická. Čáslav. Masarykova 248","Anglický jazyk","Gymnázium 4 leté","Ústní zkouška",71,0,"74.5",52,"16.9"
"Gymnázium a Střední odborná škola pedagogická. Čáslav. Masarykova 248","Český jazyk a literatura","Gymnázium 4 leté","Didaktický test",96,3,100,69,"15.4"
"Gymnázium a Střední odborná škola pedagogická. Čáslav. Masarykova 248","Český jazyk a literatura","Gymnázium 4 leté","Písemná práce",96,0,100,"64.2","10.9"
"Gymnázium a Střední odborná škola pedagogická. Čáslav. Masarykova 248","Český jazyk a literatura","Gymnázium 4 leté","Ústní zkouška",96,3,100,50,"19.6"
"Gymnázium a Střední odborná škola pedagogická. Čáslav. Masarykova 248","Matematika","Gymnázium 4 leté","Didaktický test",21,3,"21.6","63.3","26.4"
"Gymnázium Bohumila Hrabala v Nymburce. příspěvková organizace","Anglický jazyk","Gymnázium 4 leté","Didaktický test",33,0,"41.8","85.7","6.8"
"Gymnázium Bohumila Hrabala v Nymburce. příspěvková organizace","Anglický jazyk","Gymnázium 4 leté","Písemná práce",33,0,"41.8","76.1","6.7"
"Gymnázium Bohumila Hrabala v Nymburce. příspěvková organizace","Anglický jazyk","Gymnázium 4 leté","Ústní zkouška",33,0,"41.8","75.1","6.4"
"Gymnázium Bohumila Hrabala v Nymburce. příspěvková organizace","Český jazyk a literatura","Gymnázium 4 leté","Didaktický test",79,0,100,"75.5","12.9"
"Gymnázium Bohumila Hrabala v Nymburce. příspěvková organizace","Český jazyk a literatura","Gymnázium 4 leté","Písemná práce",79,0,100,"61.6","13.6"
"Gymnázium Bohumila Hrabala v Nymburce. příspěvková organizace","Český jazyk a literatura","Gymnázium 4 leté","Ústní zkouška",79,0,100,"67.4","11.4"
"Gymnázium Bohumila Hrabala v Nymburce. příspěvková organizace","Matematika","Gymnázium 4 leté","Didaktický test",40,2,"50.6","67.2","21.3"
"Gymnázium Dr. Josefa Pekaře. Mladá Boleslav. Palackého 211","Anglický jazyk","Gymnázium 4 leté","Didaktický test",45,0,"38.5",79,10
"Gymnázium Dr. Josefa Pekaře. Mladá Boleslav. Palackého 211","Anglický jazyk","Gymnázium 4 leté","Písemná práce",45,0,"38.5","67.4","9.7"
"Gymnázium Dr. Josefa Pekaře. Mladá Boleslav. Palackého 211","Anglický jazyk","Gymnázium 4 leté","Ústní zkouška",45,0,"38.5","52.7","15.5"
"Gymnázium Dr. Josefa Pekaře. Mladá Boleslav. Palackého 211","Český jazyk a literatura","Gymnázium 4 leté","Didaktický test",115,1,100,"81.7","11.3"
"Gymnázium Dr. Josefa Pekaře. Mladá Boleslav. Palackého 211","Český jazyk a literatura","Gymnázium 4 leté","Písemná práce",115,1,100,"62.5","13.8"
"Gymnázium Dr. Josefa Pekaře. Mladá Boleslav. Palackého 211","Český jazyk a literatura","Gymnázium 4 leté","Ústní zkouška",115,3,100,"58.3","17.3"
"Gymnázium Dr. Josefa Pekaře. Mladá Boleslav. Palackého 211","Matematika","Gymnázium 4 leté","Didaktický test",63,0,"55.6","70.9","19.6"
"Gymnázium Dr. Josefa Pekaře. Mladá Boleslav. Palackého 211","Německý jazyk","Gymnázium 4 leté","Didaktický test",5,0,"4.3","78.1","5.7"
"Gymnázium Dr. Josefa Pekaře. Mladá Boleslav. Palackého 211","Německý jazyk","Gymnázium 4 leté","Písemná práce",5,0,"4.3","77.5","9.1"
"Gymnázium Dr. Josefa Pekaře. Mladá Boleslav. Palackého 211","Německý jazyk","Gymnázium 4 leté","Ústní zkouška",5,0,"4.3","74.7","8.4"
"Gymnázium J. A. Komenského. Nové Strašecí. Komenského nám. 209","Anglický jazyk","Gymnázium 4 leté","Didaktický test",36,1,74,"63.7","14.2"
"Gymnázium J. A. Komenského. Nové Strašecí. Komenského nám. 209","Anglický jazyk","Gymnázium 4 leté","Písemná práce",36,0,74,"64.5","11.8"
"Gymnázium J. A. Komenského. Nové Strašecí. Komenského nám. 209","Anglický jazyk","Gymnázium 4 leté","Ústní zkouška",36,0,74,"51.5","16.1"
"Gymnázium J. A. Komenského. Nové Strašecí. Komenského nám. 209","Český jazyk a literatura","Gymnázium 4 leté","Didaktický test",48,1,100,"69.1","14.8"
"Gymnázium J. A. Komenského. Nové Strašecí. Komenského nám. 209","Český jazyk a literatura","Gymnázium 4 leté","Písemná práce",48,0,100,"52.2","15.2"
"Gymnázium J. A. Komenského. Nové Strašecí. Komenského nám. 209","Český jazyk a literatura","Gymnázium 4 leté","Ústní zkouška",48,1,100,52,"17.8"
"Gymnázium J. A. Komenského. Nové Strašecí. Komenského nám. 209","Matematika","Gymnázium 4 leté","Didaktický test",11,2,22,55,"26.6"
"Gymnázium J. S. Machara. Brandýs nad Labem - Stará Boleslav. Královická 668","Anglický jazyk","Gymnázium 4 leté","Didaktický test",40,0,"69.5",85,"9.5"
"Gymnázium J. S. Machara. Brandýs nad Labem - Stará Boleslav. Královická 668","Anglický jazyk","Gymnázium 4 leté","Písemná práce",40,0,"69.5","86.5","5.9"
