"skola","predmet","obor","typ","konali","neuspeli","volba","prumer","odchylka"
"Biskupské gymnázium Brno a mateřská škola","Anglický jazyk","Gymnázium 4 leté","Didaktický test",55,0,"69.1","81.0","8.2"
"Biskupské gymnázium Brno a mateřská škola","Anglický jazyk","Gymnázium 4 leté","Písemná práce",55,0,"69.1","79.9","6.3"
"Biskupské gymnázium Brno a mateřská škola","Anglický jazyk","Gymnázium 4 leté","Ústní zkouška",55,0,"69.1","79.7","7.1"
"Biskupské gymnázium Brno a mateřská škola","Český jazyk a literatura","Gymnázium 4 leté","Didaktický test",80,0,"100.0","77.1","10.1"
"Biskupské gymnázium Brno a mateřská škola","Český jazyk a literatura","Gymnázium 4 leté","Písemná práce",80,1,"100.0","64.8","15.4"
"Biskupské gymnázium Brno a mateřská škola","Český jazyk a literatura","Gymnázium 4 leté","Ústní zkouška",80,1,"100.0","60.3","19.0"
"Biskupské gymnázium Brno a mateřská škola","Matematika","Gymnázium 4 leté","Didaktický test",24,1,"29.6","63.9","19.9"
"EKO GYMNÁZIUM BRNO o.p.s.","Český jazyk a literatura","Gymnázium 4 leté","Didaktický test",5,0,"100.0","64.0","13.7"
"EKO GYMNÁZIUM BRNO o.p.s.","Český jazyk a literatura","Gymnázium 4 leté","Písemná práce",5,0,"100.0","51.4","14.8"
"EKO GYMNÁZIUM BRNO o.p.s.","Český jazyk a literatura","Gymnázium 4 leté","Ústní zkouška",5,0,"100.0","59.2","16.1"
"Gymnázium  Brno. třída Kapitána Jaroše. příspěvková organizace","Anglický jazyk","Gymnázium 4 leté","Didaktický test",26,0,"43.5","83.6","6.2"
"Gymnázium  Brno. třída Kapitána Jaroše. příspěvková organizace","Anglický jazyk","Gymnázium 4 leté","Písemná práce",26,0,"43.5","68.1","7.7"
"Gymnázium  Brno. třída Kapitána Jaroše. příspěvková organizace","Anglický jazyk","Gymnázium 4 leté","Ústní zkouška",26,0,"43.5","69.1","13.5"
"Gymnázium  Brno. třída Kapitána Jaroše. příspěvková organizace","Český jazyk a literatura","Gymnázium 4 leté","Didaktický test",60,0,"100.0","80.0","10.1"
"Gymnázium  Brno. třída Kapitána Jaroše. příspěvková organizace","Český jazyk a literatura","Gymnázium 4 leté","Písemná práce",60,0,"100.0","66.3","12.4"
"Gymnázium  Brno. třída Kapitána Jaroše. příspěvková organizace","Český jazyk a literatura","Gymnázium 4 leté","Ústní zkouška",60,0,"100.0","61.7","13.4"
"Gymnázium  Brno. třída Kapitána Jaroše. příspěvková organizace","Matematika","Gymnázium 4 leté","Didaktický test",33,1,"54.8","71.6","17.4"
"Gymnázium  Rájec-Jestřebí. obecně prospěšná společnost","Anglický jazyk","Gymnázium 4 leté","Didaktický test",28,0,"100.0","74.0","10.7"
"Gymnázium  Rájec-Jestřebí. obecně prospěšná společnost","Anglický jazyk","Gymnázium 4 leté","Písemná práce",28,0,"100.0","67.9","11.3"
"Gymnázium  Rájec-Jestřebí. obecně prospěšná společnost","Anglický jazyk","Gymnázium 4 leté","Ústní zkouška",28,0,"100.0","58.4","13.3"
"Gymnázium  Rájec-Jestřebí. obecně prospěšná společnost","Český jazyk a literatura","Gymnázium 4 leté","Didaktický test",28,2,"100.0","58.6","13.2"
"Gymnázium  Rájec-Jestřebí. obecně prospěšná společnost","Český jazyk a literatura","Gymnázium 4 leté","Písemná práce",28,4,"100.0","35.1","18.5"
