"skola","predmet","obor","typ","konali","neuspeli","volba","prumer","odchylka"
"Gymnázium Jiřího Wolkera. Prostějov. Kollárova 3","Anglický jazyk","Gymnázium 4 leté","Didaktický test",35,0,"67.9","65.0","11.4"
"Reálné gymnázium a základní škola města Prostějova. Studentská ul. 2","Anglický jazyk","Gymnázium 4 leté","Didaktický test",7,0,"35.0","58.9","10.6"
"Gymnázium. Olomouc - Hejčín. Tomkova 45","Anglický jazyk","Gymnázium 4 leté","Didaktický test",33,0,"38.5","76.9","9.4"
"Gymnázium. Olomouc. Čajkovského 9","Anglický jazyk","Gymnázium 4 leté","Didaktický test",37,0,"58.7","70.5","9.9"
"Slovanské gymnázium. Olomouc. tř. Jiřího z Poděbrad 13","Anglický jazyk","Gymnázium 4 leté","Didaktický test",9,0,"15.5","87.3","3.9"
"Gymnázium. Šternberk. Horní náměstí 5","Anglický jazyk","Gymnázium 4 leté","Didaktický test",23,0,"74.2","75.4","9.1"
"Gymnázium. Uničov. Gymnazijní 257","Anglický jazyk","Gymnázium 4 leté","Didaktický test",12,0,"52.2","72.1","8.1"
"Církevní gymnázium Německého řádu. spol. s r.o.","Anglický jazyk","Gymnázium 4 leté","Didaktický test",32,1,"79.1","60.9","13.2"
"Gymnázium Jana Opletala. Litovel. Opletalova 189","Anglický jazyk","Gymnázium 4 leté","Didaktický test",11,0,"57.9","64.8","9.6"
"Gymnázium. Hranice. Zborovská 293","Anglický jazyk","Gymnázium 4 leté","Didaktický test",16,0,"59.3","73.1","12.0"
"Gymnázium Jana Blahoslava a Střední pedagogická škola. Přerov. Denisova 3","Anglický jazyk","Gymnázium 4 leté","Didaktický test",13,0,"83.3","83.1","6.7"
"Gymnázium Jakuba Škody. Přerov. Komenského 29","Anglický jazyk","Gymnázium 4 leté","Didaktický test",43,0,"91.5","83.4","7.4"
"Gymnázium. Kojetín. Svatopluka Čecha 683","Anglický jazyk","Gymnázium 4 leté","Didaktický test",14,0,"60.9","71.0","11.5"
"Gymnázium. Zábřeh. náměstí Osvobození 20","Anglický jazyk","Gymnázium 4 leté","Didaktický test",13,0,"48.1","84.7","8.5"
"Gymnázium. Šumperk. Masarykovo náměstí 8","Anglický jazyk","Gymnázium 4 leté","Didaktický test",39,0,"57.4","77.5","8.7"
"Gymnázium. Jeseník. Komenského 281","Anglický jazyk","Gymnázium 4 leté","Didaktický test",19,0,"66.7","67.0","16.3"
"Reálné gymnázium a základní škola města Prostějova. Studentská ul. 2","Anglický jazyk","Gymnázium 6 leté","Didaktický test",15,0,"69.6","84.4","7.0"
"Gymnázium. Olomouc. Čajkovského 9","Anglický jazyk","Gymnázium 6 leté","Didaktický test",13,0,"56.5","78.9","5.1"
"Gymnázium. Hranice. Zborovská 293","Anglický jazyk","Gymnázium 6 leté","Didaktický test",14,0,"56.0","90.9","4.6"
"Základní škola a gymnázium města Konice","Anglický jazyk","Gymnázium 8 leté","Didaktický test",17,0,"77.3","90.9","4.1"
"Gymnázium Jiřího Wolkera. Prostějov. Kollárova 3","Anglický jazyk","Gymnázium 8 leté","Didaktický test",31,0,"55.2","76.8","8.5"
"Cyrilometodějské gymnázium a mateřská škola v Prostějově","Anglický jazyk","Gymnázium 8 leté","Didaktický test",12,0,"48.0","74.7","14.2"
"Gymnázium. Olomouc - Hejčín. Tomkova 45","Anglický jazyk","Gymnázium 8 leté","Didaktický test",9,0,"31.0","95.2","2.6"
"Gymnázium. Olomouc. Čajkovského 9","Anglický jazyk","Gymnázium 8 leté","Didaktický test",27,0,"87.1","82.9","6.8"
"Slovanské gymnázium. Olomouc. tř. Jiřího z Poděbrad 13","Anglický jazyk","Gymnázium 8 leté","Didaktický test",15,0,"25.0","90.3","6.0"
"Gymnázium. Šternberk. Horní náměstí 5","Anglický jazyk","Gymnázium 8 leté","Didaktický test",25,0,"83.3","85.4","5.2"
"Gymnázium. Uničov. Gymnazijní 257","Anglický jazyk","Gymnázium 8 leté","Didaktický test",11,0,"46.2","77.4","5.1"
"Gymnázium Jana Opletala. Litovel. Opletalova 189","Anglický jazyk","Gymnázium 8 leté","Didaktický test",11,0,"52.4","87.7","5.6"
"Gymnázium Jana Blahoslava a Střední pedagogická škola. Přerov. Denisova 3","Anglický jazyk","Gymnázium 8 leté","Didaktický test",14,0,"84.2","73.7","11.4"
"Gymnázium Jakuba Škody. Přerov. Komenského 29","Anglický jazyk","Gymnázium 8 leté","Didaktický test",44,0,"80.0","90.1","4.8"
"Gymnázium. Lipník nad Bečvou. Komenského sady 62. příspěvková organizace","Anglický jazyk","Gymnázium 8 leté","Didaktický test",11,0,"75.0","75.6","6.6"
"Gymnázium. Kojetín. Svatopluka Čecha 683","Anglický jazyk","Gymnázium 8 leté","Didaktický test",17,0,"65.4","86.1","5.2"
"Gymnázium. Zábřeh. náměstí Osvobození 20","Anglický jazyk","Gymnázium 8 leté","Didaktický test",16,0,"68.0","86.5","5.9"
"Gymnázium. Šumperk. Masarykovo náměstí 8","Anglický jazyk","Gymnázium 8 leté","Didaktický test",15,0,"51.7","82.8","5.7"
"Gymnázium. Jeseník. Komenského 281","Anglický jazyk","Gymnázium 8 leté","Didaktický test",20,0,"60.6","92.6","4.3"
"Obchodní akademie. Olomouc. tř. Spojenců 11","Anglický jazyk","Lyceum","Didaktický test",28,0,"100.0","64.3","11.3"
"Obchodní akademie a Jazyková škola s právem státní jazykové zkoušky. Přerov. Bartošova 24","Anglický jazyk","Lyceum","Didaktický test",25,0,"86.2","57.8","16.9"
"Střední průmyslová škola. Přerov. Havlíčkova 2","Anglický jazyk","Lyceum","Didaktický test",3,0,"26.7","56.4","20.5"
"Gymnázium Jana Blahoslava a Střední pedagogická škola. Přerov. Denisova 3","Anglický jazyk","Lyceum","Didaktický test",48,1,"90.9","61.1","13.8"
"Obchodní akademie a Jazyková škola s právem státní jazykové zkoušky. Šumperk. Hlavní třída 31","Anglický jazyk","Lyceum","Didaktický test",25,0,"92.9","67.0","11.2"
"Švehlova střední škola polytechnická Prostějov","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",5,0,"100.0","70.0","5.3"
"Střední odborná škola podnikání a obchodu. spol. s r.o.","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",2,0,"36.4","71.1","11.2"
"Střední odborná škola Prostějov","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",7,2,"91.7","36.6","20.9"
"Střední škola automobilní Prostějov. s. r. o.","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",8,0,"66.7","67.1","4.2"
"Střední odborná škola lesnická a strojírenská Šternberk","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",8,4,"100.0","21.7","24.1"
"Střední odborná škola obchodu a služeb. Olomouc. Štursova 14","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",17,2,"66.7","43.9","18.5"
"Střední škola zemědělská a zahradnická. Olomouc. U Hradiska 4","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",20,1,"67.5","39.5","14.7"
"Střední škola technická a obchodní. Olomouc. Kosinova 4","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",5,0,"90.9","35.2","12.6"
"Střední odborná škola a Střední odborné učiliště služeb Velký Újezd. s.r.o.","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",11,1,"73.3","59.3","16.5"
"Střední škola zemědělská. Přerov. Osmek 47","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",3,0,"42.9","16.2","1.2"
"Střední škola sociální péče a služeb. Zábřeh. nám. 8. května 2","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",22,7,"53.7","32.1","21.3"
"Střední škola gastronomie a farmářství Jeseník","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",12,0,"83.3","65.9","9.6"
"Střední škola gastronomie a služeb. Přerov. Šířava 7","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",11,3,"73.7","22.0","15.3"
"Střední škola železniční. technická a služeb. Šumperk","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",11,1,"75.0","40.0","14.3"
"Střední škola technická a zemědělská Mohelnice","Anglický jazyk","SOU ostatní (nástavby)","Didaktický test",3,1,"85.7","16.1","21.7"
"Střední škola polytechnická. Olomouc. Rooseveltova 79","Anglický jazyk","SOU technické (nástavby)","Didaktický test",15,3,"63.6","29.0","14.7"
"Střední škola technická a obchodní. Olomouc. Kosinova 4","Anglický jazyk","SOU technické (nástavby)","Didaktický test",4,0,"80.0","22.5","5.5"
"Střední průmyslová škola Hranice","Anglický jazyk","SOU technické (nástavby)","Didaktický test",5,0,"85.7","40.3","14.4"
"Střední škola technická. Přerov. Kouřílkova 8","Anglický jazyk","SOU technické (nástavby)","Didaktický test",1,0,"61.5","24.7",
"Střední škola technická a zemědělská Mohelnice","Anglický jazyk","SOU technické (nástavby)","Didaktický test",2,1,"50.0","18.1","14.1"
"Obchodní akademie. Prostějov. Palackého 18","Anglický jazyk","SOŠ ekonomické","Didaktický test",45,1,"78.0","59.2","14.4"
"Střední průmyslová škola a Střední odborné učiliště Uničov","Anglický jazyk","SOŠ ekonomické","Didaktický test",18,0,"69.2","40.6","17.6"
"Obchodní akademie. Olomouc. tř. Spojenců 11","Anglický jazyk","SOŠ ekonomické","Didaktický test",41,0,"77.8","66.6","12.4"
"Obchodní akademie a Jazyková škola s právem státní jazykové zkoušky. Přerov. Bartošova 24","Anglický jazyk","SOŠ ekonomické","Didaktický test",48,0,"87.7","64.4","12.2"
"Obchodní akademie. Mohelnice. Olomoucká 82","Anglický jazyk","SOŠ ekonomické","Didaktický test",3,0,"38.9","81.1","11.5"
"Obchodní akademie a Jazyková škola s právem státní jazykové zkoušky. Šumperk. Hlavní třída 31","Anglický jazyk","SOŠ ekonomické","Didaktický test",22,1,"86.7","45.8","13.2"
"Hotelová škola Vincenze Priessnitze. Jeseník. Dukelská 680","Anglický jazyk","SOŠ ekonomické","Didaktický test",10,0,"77.8","55.1","12.0"
"Střední odborná škola podnikání a obchodu. spol. s r.o.","Anglický jazyk","SOŠ hotelové a podnikatelské","Didaktický test",27,0,"100.0","61.4","11.9"
"Střední odborná škola služeb s.r.o.","Anglický jazyk","SOŠ hotelové a podnikatelské","Didaktický test",18,2,"94.7","58.3","17.5"
"Střední odborná škola. Stromořadí 420. Uničov. s.r.o.","Anglický jazyk","SOŠ hotelové a podnikatelské","Didaktický test",10,0,"73.3","36.7","14.4"
"Střední odborná škola. Šumperk. Zemědělská 3","Anglický jazyk","SOŠ hotelové a podnikatelské","Didaktický test",45,0,"100.0","72.3","12.6"
"Hotelová škola Vincenze Priessnitze. Jeseník. Dukelská 680","Anglický jazyk","SOŠ hotelové a podnikatelské","Didaktický test",24,2,"77.8","51.0","16.4"
"Střední škola obchodu. gastronomie a designu PRAKTIK s.r.o.","Anglický jazyk","SOŠ hotelové a podnikatelské","Didaktický test",6,2,"66.7","22.3","12.6"
"Střední škola gastronomie a služeb. Přerov. Šířava 7","Anglický jazyk","SOŠ hotelové a podnikatelské","Didaktický test",18,1,"91.7","50.6","15.6"
